1,357,459
2,-162,264
3,-20,122
4,57,45
5,15,87
6,13,89
7,-3,105
8,37,65
9,58,44
10,40,62
11,-13,115
12,65,37
13,4,98
14,50,52
15,15,87
16,37,65
17,-63,165
18,33,69
19,67,35
20,25,77
21,12,90
22,20,82
23,66,36
24,41,61
25,37,65
26,67,35
27,31,71
28,49,53
29,-31,133
30,63,39
31,45,57
32,-18,120
33,64,38
34,54,48
35,17,85
36,-48,150
37,44,58
38,37,65
39,46,56
40,33,69
41,21,81
42,-206,308
43,31,71
44,60,42
45,-50,152
46,-186,288
47,-15,117
48,-29,131
49,30,72
50,49,53
51,30,72
52,59,43
53,23,79
54,56,46
55,58,44
56,-51,153
57,59,43
58,50,52
59,61,41
60,60,42
61,51,51
62,56,46
63,59,43
64,31,71
65,52,50
66,47,55
67,45,57
68,-394,496
69,13,89
70,66,36
71,3,99
72,11,91
73,26,76
74,61,41
75,49,53
76,62,40
77,53,49
78,57,45
79,49,53
80,5,97
81,60,42
82,67,35
83,62,40
84,14,88
85,6,96
86,-18,120
87,34,68
88,55,47
89,19,83
90,33,69
91,65,37
92,49,53
93,54,48
