1,-1054,1156
2,-1237,1339
3,-1537,1639
4,-218,320
5,-229,331
6,-181,283
7,-28,130
8,-142,244
9,-180,282
10,-119,221
11,-212,314
12,-332,434
13,-16,118
14,-67,169
15,-8,110
16,-1,103
17,-184,286
18,-71,173
19,-12,114
20,-73,175
21,51,51
22,-191,293
23,-336,438
24,-52,154
25,-19,121
26,18,84
27,-121,223
28,16,86
29,-93,195
30,8,94
31,5,97
32,3,99
33,55,47
34,14,88
35,19,83
36,45,57
37,1,101
38,33,69
39,48,54
40,63,39
41,48,54
42,-60,162
43,59,43
44,10,92
45,34,68
46,-70,172
47,30,72
48,57,45
49,-17,119
50,23,79
51,48,54
52,57,45
53,58,44
54,19,83
55,55,47
56,65,37
57,50,52
58,71,31
59,52,50
60,15,87
61,60,42
62,66,36
63,50,52
64,63,39
65,69,33
66,62,40
67,67,35
68,43,59
69,68,34
70,66,36
71,66,36
72,67,35
73,72,30
74,72,30
75,64,38
76,74,28
