1,-14689,14791,
2,-59222,59324,
3,-2590,2692,
4,-8505,8607,
5,-384,486,
6,-2356,2458,
7,-2598,2700,
8,-440,542,
9,4,98,
10,73,29,
11,69,33,
12,68,34,
13,75,27,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,, 
